Nombre,Precio,CantidadEnStock
Producto 1,77,47,8
Producto 2,24,36,59
Producto 3,67,35,83
Producto 4,56,81,4
Producto 5,54,74,71
Producto 6,63,68,63
Producto 7,22,22,36
Producto 8,56,26,36
Producto 9,68,27,57
Producto 10,96,09,79
Producto 11,43,87,89
Producto 12,60,14,46
Producto 13,94,16,73
Producto 14,23,33,8
Producto 15,22,13,78
Producto 16,93,57,65
Producto 17,87,98,2
Producto 18,65,36,78
Producto 19,36,64,20
Producto 20,74,09,15
Producto 21,67,51,15
Producto 22,36,81,2
Producto 23,28,15,92
Producto 24,83,61,97
Producto 25,13,19,35
Producto 26,10,41,74
Producto 27,65,51,60
Producto 28,83,27,65
Producto 29,88,61,99
Producto 30,80,73,87
Producto 31,54,51,8
Producto 32,31,48,25
Producto 33,25,27,80
Producto 34,77,53,3
Producto 35,68,1,41
Producto 36,76,57,91
Producto 37,45,34,92
Producto 38,78,95,27
Producto 39,15,38,85
Producto 40,14,35,34
Producto 41,74,17,18
Producto 42,24,17,45
Producto 43,42,83,50
Producto 44,67,94,74
Producto 45,18,81,8
Producto 46,23,49,67
Producto 47,41,92,67
Producto 48,22,7,88
Producto 49,81,34,69
Producto 50,46,61,69
Producto 51,88,2,75
Producto 52,87,55,21
Producto 53,16,78,39
Producto 54,93,4,70
Producto 55,36,94,9
Producto 56,10,26,83
Producto 57,62,01,20
Producto 58,89,73,62
Producto 59,88,4,20
Producto 60,67,91,74
Producto 61,41,64,24
Producto 62,90,77,6
Producto 63,92,66,95
Producto 64,65,13,82
Producto 65,96,75,40
Producto 66,42,68,23
Producto 67,60,46,44
Producto 68,15,96,97
Producto 69,86,35,8
Producto 70,15,47,70
Producto 71,47,6,46
Producto 72,66,59,7
Producto 73,68,84,81
Producto 74,42,18,37
Producto 75,37,17,83
Producto 76,52,41,93
Producto 77,37,84,12
Producto 78,70,94,38
Producto 79,31,09,22
Producto 80,74,7,13
Producto 81,49,56,53
Producto 82,90,86,40
Producto 83,54,76,93
Producto 84,24,71,86
Producto 85,53,91,29
Producto 86,19,84,58
Producto 87,86,43,12
Producto 88,65,24,29
Producto 89,84,72,30
Producto 90,30,79,74
Producto 91,43,15,5
Producto 92,13,7,98
Producto 93,90,22,4
Producto 94,79,38,72
Producto 95,78,76,63
Producto 96,51,93,34
Producto 97,56,2,99
Producto 98,73,92,98
Producto 99,70,07,43
Producto 100,12,19,84
Producto 101,16,24,79
Producto 102,14,6,82
Producto 103,12,4,35
Producto 104,57,1,49
Producto 105,97,28,76
Producto 106,62,27,53
Producto 107,41,66,17
Producto 108,12,18,58
Producto 109,96,37,79
Producto 110,39,63,21
Producto 111,20,37,89
Producto 112,40,44,18
Producto 113,89,45,64
Producto 114,55,58,88
Producto 115,95,03,50
Producto 116,70,1,43
Producto 117,54,4,56
Producto 118,33,25,55
Producto 119,61,77,11
Producto 120,56,26,78
Producto 121,84,53,45
Producto 122,23,05,84
Producto 123,37,55,85
Producto 124,94,85,39
Producto 125,78,01,85
Producto 126,72,24,94
Producto 127,67,24,5
Producto 128,88,99,44
Producto 129,69,15,92
Producto 130,10,96,85
Producto 131,86,95,88
Producto 132,77,55,62
Producto 133,31,87,62
Producto 134,14,16,59
Producto 135,46,76,1
Producto 136,55,23,27
Producto 137,88,81,81
Producto 138,95,21,41
Producto 139,46,24,14
Producto 140,21,55,68
Producto 141,34,99,65
Producto 142,84,84,74
Producto 143,85,81,59
Producto 144,25,97,84
Producto 145,38,77,88
Producto 146,22,64,56
Producto 147,56,02,21
Producto 148,12,2,20
Producto 149,57,67,47
Producto 150,57,5,80
Producto 151,91,73,54
Producto 152,93,71,29
Producto 153,29,5,37
Producto 154,20,27,19
Producto 155,86,4,40
Producto 156,32,66,100
Producto 157,68,69,40
Producto 158,96,98,35
Producto 159,50,05,62
Producto 160,99,77,34
Producto 161,35,72,85
Producto 162,99,81,92
Producto 163,10,53,21
Producto 164,87,38,97
Producto 165,58,65,78
Producto 166,22,02,72
Producto 167,96,74,33
Producto 168,85,33,66
Producto 169,23,45,6
Producto 170,24,26,41
Producto 171,33,68,58
Producto 172,22,57,56
Producto 173,87,46,83
Producto 174,31,99,12
Producto 175,99,15,39
Producto 176,34,71,60
Producto 177,43,36,66
Producto 178,45,55,97
Producto 179,93,33
Producto 180,29,75,57
Producto 181,79,13,100
Producto 182,84,85,50
Producto 183,95,01,18
Producto 184,12,72,53
Producto 185,60,65,89
Producto 186,47,01,31
Producto 187,92,19,22
Producto 188,16,66,56
Producto 189,44,95,2
Producto 190,35,01,100
Producto 191,85,75,81
Producto 192,85,49,99
Producto 193,87,84,36
Producto 194,56,23,66
Producto 195,25,12,78
Producto 196,51,47,73
Producto 197,18,16,21
Producto 198,87,21,32
Producto 199,32,25,30
Producto 200,61,38,97
Producto 201,96,67,11
Producto 202,88,06,84
Producto 203,60,86,14
Producto 204,11,84,41
Producto 205,60,58,91
Producto 206,44,11,92
Producto 207,51,73,49
Producto 208,61,09,84
Producto 209,85,45,9
Producto 210,34,92,72
Producto 211,93,67,12
Producto 212,91,78,45
Producto 213,87,77,37
Producto 214,41,48,13
Producto 215,90,14,94
Producto 216,68,41,70
Producto 217,12,88,84
Producto 218,95,17,59
Producto 219,60,78,51
Producto 220,53,21,95
Producto 221,55,99,60
Producto 222,81,9,96
Producto 223,31,85,72
Producto 224,61,18,47
Producto 225,46,47,5
Producto 226,21,53,70
Producto 227,92,65,86
Producto 228,16,57,12
Producto 229,48,59,4
Producto 230,50,49,66
Producto 231,41,14,95
Producto 232,56,47,47
Producto 233,47,79,90
Producto 234,73,4,15
Producto 235,70,34,49
Producto 236,64,1,85
Producto 237,46,01,82
Producto 238,34,43,93
Producto 239,40,34,93
Producto 240,80,75,47
Producto 241,69,98,39
Producto 242,62,03,97
Producto 243,43,69,88
Producto 244,88,62,97
Producto 245,18,34,5
Producto 246,34,69,53
Producto 247,45,6,33
Producto 248,37,09,78
Producto 249,57,12,13
Producto 250,72,11,34
